id,category,type,question,answer,dummy1,dummy2,dummy3,explanation,
581,理科（動植物）,choice,理科の授業で育てるヘチマ。種を植えたあと最初に出てくる丸っこい２枚の可愛い葉っぱのことを何という？,子葉（しよう）または双葉,本葉,ギザギザ葉,花びら,タネの中に最初から用意されていたお弁当の栄養を使って開く特別な葉っぱだよ！そのあとに出てくるのが本葉（ほんば）だ,
582,理科（動植物）,choice,ヘチマなどの植物が根っこからゴクゴク吸い上げた水。この水は茎（くき）の中の何という専用のパイプラインを通って上に行く？,道管（どうかん）,師管,血管,水道管,水が通る道だから道管（どうかん）！お葉っぱで作った栄養が通るパイプは師管（しかん）というから間違えないでね,
583,理科（動植物）,choice,昆虫の体のパーツ。カブトムシやアリの足は６本ですがでは「羽（はね）」は頭・胸・腹のどこのパーツから生えている？,胸（むね）,頭,お腹,背中のお尻,足も羽も乗り物のエンジンと同じ！昆虫を動かすためのパーツは全部絶対に『胸』にくっついているんだよ,
584,理科（動植物）,choice,春になると池の底からたくさんのオタマジャクシが生まれます。オタマジャクシが大人（カエル）になるとき最初に向かって生えてくるのはどっちの足？,後ろ足（うしろあし）,前足,右の足だけ,しっぽが足になる,実は後ろ足が先にピョコッと生えてきてそのあと皮膚の下で準備していた前足が突き破るように出てくるんだよ,
585,理科（動植物）,choice,夏の夜にミンミンゼミやアブラセミがもの凄いうるささで大合唱しています。あの爆音で鳴いているセミの性別はどっち？,オスだけ,メスだけ,どっちも鳴く,子供のセミだけ,お腹の中に音を響かせる太鼓の部屋（発音器）を持っているのはオスのセミだけ！メスをナンパするために必死に鳴いている,
586,理科（動植物）,choice,植物のタネが芽を出す（発芽）ために必要な３つの条件。水と、空気（酸素）と、あと一つは絶対になに？,適した温度（まわりのあたたかさ）,太陽の光,土,肥料,冷たい冷蔵庫の中だと種は眠ったままで芽を出さないよ！春のポカポカしたあたたかさが必要なんだ,
587,理科（動植物）,choice,モンシロチョウの幼虫（アオムシ）がキャベツの葉っぱをモリモリ食べて大きくなります。さなぎになる前に何回皮を脱ぐ（脱皮する）？,４回（５億になる）,１回,１０回,絶対に脱皮しない,アオムシの皮膚はゴムみたいに伸びないから 大きくなるたびに脱皮するよ 4回脱皮したあとの5令幼虫がさなぎになるんだ,
588,理科（動植物）,choice,サクラの木は冬になると葉っぱが全部落ちて枯れ木のようになります。でも枝の先には春に咲くための何が準備されている？,冬芽（ふゆめ・とうが）,タネ,青い葉っぱ,ハチの巣,冷たい冬の風や氷から守るために硬いうろこのコートをかぶった芽が秋のうちからスタンバイしているんだよ,
589,理科（動植物）,choice,秋になるとツバメが日本からいなくなります。彼らは冬のあいだどこへ行ってバカンスを過ごしているの？,南の温かい国（フィリピンやマレーシアなど）,シベリアの寒い国,宇宙,山の洞窟で冬眠している,日本が冬になると虫がいなくなってエサが取れないから 温かい東南アジアまで何千キロも海を渡って旅をするんだよ,
590,理科（動植物）,choice,冬になるとクマやシマリスはお部屋にこもって春まで寝て過ごします（冬眠）。この寝ているときの彼らの体温はどうなっている？,もの凄く低くなっている（エネルギーをセーブするため）,人間と同じ36度くらい,アツアツに燃えている,０度で凍っている,体温をギリギリまで下げることでお腹が減らないようにしているよ カエルやヘビはまわりの土と同じ温度まで下がっちゃう,
591,理科（電気）,choice,乾電池（かんでんち）のポチッと飛び出しているプラス極と平らなマイナス極。電気（電流）はどっちの極から出発して回路を流れるルール？,プラス極から出てマイナス極へ向かう,マイナス極から出てプラス極へ向かう,どっちからも同時に出る,流れないで止まっている,電気はプラスからマイナスへ流れる！理科の回路パズルの大前提のルールだから絶対に覚えておこう,
592,理科（電気）,choice,乾電池２個を使ってプロペラモーターを回します。電池のプラスとマイナスを交互に一列に繋ぐパワフルな繋ぎ方を何という？,直列つなぎ（ちょくれつつなぎ）,並列つなぎ,交差つなぎ,ご破算つなぎ,電気のパワー（電圧）が2倍になってモーターが猛スピードで回るよ！その代わり電池がなくなるのも2倍早いんだ,
593,理科（電気）,choice,乾電池２個のプラスどうしマイナスどうしを隣に並べて繋ぐ方法。電気の強さは電池1個分と同じだけど長持ちする繋ぎ方は何？,並列つなぎ（へいれつつなぎ）,直列つなぎ,階段つなぎ,リセットつなぎ,電気の通り道が2本のハイウェイになるから 電池が2倍長持ちするよ！おもちゃを長く動かしたいときに使うんだ,
594,理科（電気）,choice,モーターカーの走る向きをバック（反対方向）に変えたいとき回路の乾電池をどのようにいじればいい？,乾電池の向きをあべこべに逆にする,電池を2個に増やす,スイッチを連打する,電線をギザギザに結ぶ,電池の向きを逆にすると電気の流れ（電流の向き）が逆になるから モーターの回る向きも逆回転になってバックするよ,
595,理科（電気）,choice,光を浴びると乾電池みたいに電気を作ることができるお家の屋根や電卓にくっついている薄い板（シート）を何という？,光電池（こうでんち）またはソーラーパネル,乾電池,蓄電池,プロペラパネル,太陽の光の強さに合わせて作られる電気の強さが変わるよ！乾電池と違って使い終わってもゴミにならないエコな板だね,
596,理科（電気）,choice,光電池（ソーラーパネル）にモーターを繋いで回します。もっとプロペラを速く回したいときはどうすればいい？,太陽の光を強く当てる（鏡などで光を集める）,パネルを日陰に隠す,パネルを裏返しにする,冷たい水をかける,光が強ければ強いほど電気がたくさん生まれるよ！雲がかかって日陰になるとパワーがガクッと落ちちゃうのが弱点なんだ,
597,理科（電気）,choice,回路の途中に組み込んで電気を通したり止めたりするカチカチ動かすパーツのことを何という？,スイッチ,コンセント,プラグ,モーター,電気の通り道の橋を上げたり下げたりするパーツだよ！橋を下げて回路が繋がった状態を『通電』というんだ,
598,算数（分数）,choice,ピザを１枚買ってきて完璧に３等分にカットしました。そのうちの２枚をお皿に乗せたときの量を表す分数はどれ？,３分の２,２分の３,３分の３,1,全体を３つに分けたうちの２つ分だから３分の２！下の数字（分母）がお母さんで上の数字（分子）が子どもだよ,
599,算数（分数）,choice,分数で『４分の３』と『４分の２』の足し算をします。分子と分母の足し算のルールで正しいのはどれ？,下の分母はそのままで上の分子だけ足し算する,上も下もどっちも足し算する,下の分母だけ足し算する,分数の足し算はできない,分母は『ピザのカットサイズ』を表しているだけだから変えちゃダメ！サイズはそのままで上の個数だけ足して４分の５だ,
600,算数（数）,choice,算数の大きな数。１億の１万倍は１兆（ちょう）ですがでは１兆のさらに１万倍した次の桁の単位の名前は何？,１京（けい）,１垓,１命,１零,兆の次は『京（けい）』というよ！スーパーコンピュータの『京』や『富岳』の計算スピードの由来になった単位なんだ,
601,算数（数）,choice,日本の数字の数え方のルール。一・万・億・兆・京。これは数字の０（ゼロ）が何個増えるたびに名前が変わる？,４個ずつ増えるたび（４桁ごと）,３個ずつ増えるたび,５個ずつ増えるたび,１個ずつ増えるたび,千の次が万！万が4桁進むと億！漢字で大きな数を書くときは右から4桁ごとにカンマを入れて考えると超簡単だよ,
602,算数（数）,choice,"英語の数の数え方（Thousand, Million, Billion）。これは０（ゼロ）が何個増えるたびに名前が変わる？",３個ずつ増えるたび（３桁ごと）,４個ずつ増えるたび,２個ずつ増えるたび,６個ずつ増えるたび,"だから世界中の算数の教科書や数字には『1,000,000』みたいに3桁ごとにカンマがついているんだね！",
603,算数（単位）,choice,算数の面積の単位。たてが１０ｍでよこが１０ｍの正方形の土地の面積（１００平方メートル）のことを別の単位で何という？,１アール（ａ）,１ヘクタール,１平方キロメートル,１センチメートル,みんなの学校の教室１クラス分くらいの広さがちょうど１アールだよ！面積の単位換算パズルの基本のキだね,
604,算数（単位）,choice,面積の単位。たてが１００ｍでよこが１００ｍの正方形の土地の面積（１００００平方メートル）のことを何という？,１ヘクタール（ｈａ）,１アール,１平方キロメートル,１平方メートル,学校の校庭の広さやサッカースタジアムくらいの大きな広さ！アール（ａ）にｈ（ヘクト＝100倍）がついた単位なんだ,
605,算数（単位）,choice,単位換算のひっかけパズル！広ーい『１ヘクタール（ha）』の土地の中には『１アール（a）』の土地がいくつ敷き詰められる？,１００個,１０個,1,０００個,10,０００個
606,算数（単位）,choice,もっと巨大な面積パズル！『１平方キロメートル（km²）』という街レベルの土地の中には『１ヘクタール（ha）』の土地がいくつ入る？,１００個,１０個,1,０００個,じつは１個だけ,
607,算数（単位）,choice,算数テストの罠！『たて３０ｍでよこ４０ｍの長方形の公園があります。この公園の面積は何アール（a）ですか？』,１２アール（30×40=1200㎡だから）,１２０アール,１アール,１２００アール,,
608,算数（単位）,choice,算数のひっかけその２！『たて２００ｍでよこ５００ｍの巨大な森があります。この森の面積は何ヘクタール（ha）ですか？』,１０ヘクタール（200×500=100000㎡だから）,１００ヘクタール,１ヘクタール,１０００ヘクタール,,
609,算数（図形）,choice,４つの角がすべて直角（９０度）で向かい合う辺の長さが同じであるノートやテレビの画面のような形を何という？,長方形,正方形,ひし形,台形,漢字の通り『長い正方形』と書いて長方形！身の回りの四角形はほとんどこの形で作られているよ,
610,算数（図形）,choice,４つの辺の長さがすべて同じでさらに４つの角もすべて直角（９０度）という完璧なサイコロの面のような形は何？,正方形,長方形,ひし形,平行四辺形,すべての辺の長さもすべての角の角度もパーフェクトに同じ！四角形界の一番キレイなエリートの形だよ,
611,算数（図形）,choice,平行四辺形（へいこうしへんけい）の向かい合う２組の辺。この２本の線をどこまで長く伸ばしても絶対に起きないことはなに？,２本の線が交わること（絶対にぶつからない）,線が消えること,曲がること,数字が変わること,平行（へいこう）というのは 電車のレールやノートの横線と同じで どこまで伸ばしても絶対にぶつからない線のことだよ,
612,算数（図形）,choice,色々な四角形のなかで向かい合う辺が「１組だけ」平行になっているすべり台の階段や怪獣の足のような形を何という？,台形（だいけい）,ひし形,平行四辺形,長方形,跳び箱を横から見た形やプリンのカップの形も台形！1組だけが平行で残り２本の線は伸ばすと上でぶつかっちゃうんだ,
613,算数（図形）,choice,４つの辺の長さがすべて同じだけど角の角度は直角ではないトランプのダイヤのマークのような四角形を何という？,ひし形（ひしがた）,正方形,台形,平行四辺形,植物の『菱（ひし）』の葉っぱの形にそっくりだからひし形というよ！ひっくり返しても辺の長さは全部同じなんだ,
514,算数（図形）,choice,どんなにヘンテコな形でもすべての四角形の４つの内側の角の角度を全部足し算すると合計は絶対に何度になる？,３６０度,１８０度,９０度,５４０度,,
615,算数（図形）,choice,ひし形の対角線（たいかくせん）のひっかけ問題！ひし形の中にバツ印のように引いた２本の対角線は真ん中でどのように交わっている？,垂直（９０度）に交わっている,斜めに交わっている,じつは真ん中で交わらない,長さが絶対に同じになる,,
616,算数（計算）,choice,「２５×１７×４」という３つの掛け算。左から順番に計算するよりも先にどことどこを掛け算すると一瞬で暗算のボーナスステージになる？,２５×４を先にやる（100になるから）,１７×４を先にやる,２５×１７を先にやる,じつはどれをやっても同じくらい難しい,,
617,算数（計算）,choice,「１２５×９×８」という計算問題。算数が得意な子が計算用紙を見た瞬間にニヤリとして最初に頭の中で計算するペアはどっち？,１２５×８（1000になるから）,９×８（普通の九九だから）,１２５×９,右から順番に地道にやる,,
618,算数（計算）,choice,わり算のあまりの絶対ルール！「▢÷８＝６あまり△」という問題のときあまりの△に入る数字で『絶対にありえない数字』はどれ？,９（わる数の8より大きくなったらダメだよ）,2,5,1,,
619,算数（計算）,choice,「割り算が合っているか」を確かめる計算（たしかめ算）のやり方。正しい数式の組み合わせはどれ？,わる数 × 商 ＋ あまり ＝ わられる数,商 ＋ あまり × わる数 ＝ わられる数,わられる数 ÷ あまり ＝ 商,わる数 ＋ 商 ＋ あまり ＝ わられる数,,
620,算数（そろばん）,choice,そろばんの上のほうにポツンと１個ある５だま（五玉）。この珠（たま）を人差し指でパチッと下に下げると数字のいくつを表したことになる？,5,1,50,0,,
621,算数（そろばん）,choice,そろばんの下のほうに４個ずつ並んでいる１だま（一玉）。これを親指で４個ぜんぶ上に押し上げると数字のいくつを表したことになる？,4,1,5,40,,
622,算数（そろばん）,choice,そろばんで計算を始める前に数字をきれいに全部消して０にリセットすることを何という？,ご破算（ごはさん）,ゲームセット,クリア,全消し,,
623,国語（慣用句）,choice,あまりにも仲が悪くて顔を合わせるとすぐに大ゲンカを始めてしまう２人の関係を有名なことわざでは何と何にたとえている？,犬と猿（犬猿の仲）,猫とネズミ,キツネとタヌキ,クジラとイワシ,,
624,国語（慣用句）,choice,手紙を出したりメッセージを送ったりしたきり返事がなにも返ってこない寂しい状態のことをたとえた言葉は何？,梨のつぶて（なしのつぶて）,リンゴのナゲキ,ブドウのシズク,ミカンのアワ,,
625,国語（慣用句）,choice,何をアドバイスしてもまったく効果がなく右の耳から左の耳へ聞き流されてしまう様子を動物にたとえて何という？,馬の耳に念仏（うまのみみにねんぶつ）,豚に真珠,猫に小判,犬に論語,,
626,国語（慣用句）,choice,価値のわからない人にいくら高級なゲームやお宝をあげても意味がないという有名なことわざは何？,猫に小判（あるいは豚に真珠）,犬に論語,馬の耳に念仏,雀の涙,,
627,国語（慣用句）,choice,自分のお家の庭やお部屋の広さがもの凄く狭い（ちいさい）ことを身近な動物の体の一部にたとえて何という？,猫の額（ねこ のひたい）,雀の涙,蟻の穴,犬の足跡,,
628,国語（慣用句）,choice,もらえるお小遣いやおやつの量がほんの少ししかなくてがっかりな様子を小さな鳥にたとえて何という？,雀の涙（すずめのなみだ）,猫の額,蚊の汗,象の鼻水,,
629,国語（慣用句）,choice,誰かのうわさ話をしているとなぜかその本人がちょうどグッドタイミングで部屋に入ってくる不思議な現象を表す言葉は何？,噂をすれば影が差す,壁に耳あり障子に目あり,灯台下暗し,類は友を呼ぶ,,
630,国語（慣用句）,choice,のんびり寝そべっているだけで思いがけないラッキーな幸運や美味しいプレゼントが口の中に降ってくるようなことわざは何？,棚からぼた餅（たなぼた）,海老で鯛を釣る,鬼に金棒,瓢箪から駒,,
631,国語（慣用句）,choice,探している大切な消しゴムがじつは自分の座っている机のすぐ真下や目の前に落ちていたというような灯台の足元と同じ状態をたとえた言葉は何？,灯台下暗し（とうだいもとくらし）,井の中の蛙,一寸先は闇,藪から棒,,
632,国語（慣用句）,choice,テストの前にしっかりと宿題をやって準備しておけば本番で何も怖くないというような事前の準備が安心を生むことを表す言葉は何？,備えあれば憂いなし（そなえあればうれいなし）,急がば回れ,果報は寝て待て,失敗は成功のもと,,
633,国語（ことわざ）,choice,どんなに遠くて長い合格への道のりであってもまずは目の前の小さな一歩を踏み出すことから始まるという意味の有名な言葉は何？,千里の道も一歩から,百里の道も一歩から,急がば回れ,塵も積もれば山となる,,
634,国語（ことわざ）,choice,小さな消しゴムのカスやチリであっても毎日毎日たくさん集めるといつかは巨大な山になるという意味のコツコツ頑張る言葉は何？,塵（ちり）も積もれば山となる,千里の道も一歩から,雨降って地固まる,石の上にも三年,,
635,国語（ことわざ）,choice,ケンカをしたりトラブルが起きたあとのほうがかえって前よりも仲良くなったりチームがまとまったりするという天気の変化にたとえた言葉は何？,雨降って地固まる,災い転じて福となす,負けるが勝ち,三人寄れば文殊の知恵,,
636,国語（ことわざ）,choice,普通の人であっても３人が集まって真面目にアイデアを出し合えば知恵の神様（文殊様）のような素晴らしい知恵が生まれるという意味の言葉は何？,三人寄れば文殊の知恵,一石二鳥,十人十色,百聞は一見にしかず,,
637,国語（ことわざ）,choice,人から何回もうわさ話や説明を聞くよりもたった１回だけ自分の目で直接確かめたほうがよくわかるという意味の数字の百が入った言葉は何？,百聞は一見にしかず（ひゃくぶんはいっけんにしかず）,三人寄れば文殊の知恵,棚からぼた餅,論より証拠,,
638,国語（漢字）,choice,４年生で習う難しい漢字新潟県の潟という漢字。右側の上の部分の四角の中の正しい形はどれ？,真ん中が縦にパカッと離れた「臼」の形,ただの「白」,太陽の「日」,目の「目」,,
639,国語（漢字）,choice,４年生で習う難しい漢字愛媛県の媛という漢字。右側の上の部分はカタカナのある文字にそっくりな形をしています。何に見える？,カタカナの「ツ」の形,カタカナの「ク」の形,カタカナの「ハ」の形,カタカナの「ワ」の形,,
640,国語（漢字）,choice,漢字のパーツ（部首）の名前。漢字の上側に家（うかんむり）や草（くさかんむり）のように帽子のように乗っかっているパーツのことを何という？,かんむり（冠）,あし（足）,へん（辺）,つくり,,
